series_id,series_name,source_name,country_id,country_name,region,income_group,year,value
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2008,14597.625755
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2009,15788.407323
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2010,16451.759834
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2011,15693.687283
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2012,15056.608485
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2013,14402.295437
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2014,13828.373873
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2015,13274.042077
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2016,13156.189276
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",422,Lebanon,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2017,13191.140865
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),1990,3912.005724
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),1991,4118.022928
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),1992,3960.066109
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),1993,3863.407859
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),1994,4203.00594
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),1995,3915.217615
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),1996,4337.143266
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),1997,4212.621511
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),1998,4460.469675
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),1999,4453.466601
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),2000,4483.808406
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),2001,4754.192333
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),2002,4843.989892
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),2003,5071.7173
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),2004,5252.301097
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),2005,5361.662834
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),2006,5700.923327
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),2007,5834.012241
6012,"GDP per capita, PPP (constant 2011 international $)","World Bank, World Development Indicators (WDI)",504,Morocco,Middle East and North Africa,Lower Middle Income Country (World Bank Classification),2008,6106.845445
